Наименование программы,Источник,[План 2026] Тип работы,[План 2026] Компания,[План 2026] Направление,[План 2026] Часов,[План 2026] Вид обучения,[План 2026] Заказчик,[План 2026] Контактное лицо,[План 2026] Примечание,[План 2026] Статус,[План 2026] Автор курса,[План 2026] Даты,[План 2026] ID курса,[Каталог] ID,[Каталог] Описание,[Каталог] Цена,[Каталог] Бейдж,[Каталог] Часы,[Каталог] Тип обучения,[Каталог] ФРДО/РОЛ,[Каталог] ProgramId,[Каталог] Код ЕИСОТ,[Каталог] Программа ЕИС,[Каталог] Часы ЕИС,[Каталог] Ссылка/год
Тестирование Б.8.1.1. Эксплуатация опасных производственных объектов тепловых электростанций и иных объе,Каталог курсов (СДО),,,,,,,,,,,,,10993,Курс пред NULL 350,Адаптивно-,,Подготовка,к тестированию в РТН Нет,NULL NULL,NULL,NULL,,,0
"Тестирование Б.8.1.2. Эксплуатация опасных производственных объектов, на которых используются паровые котКурс",Каталог курсов (СДО),,,,,,,,,,,,,10994,пред NULL 350,Адаптивно-,,Подготовка,к тестированию в РТН Нет,NULL NULL,NULL,NULL,,,0
"Тестирование Б.8.1.3. Эксплуатация опасных производственных объектов, на которых используются водогрейны",Каталог курсов (СДО),,,,,,,,,,,,,10995,Курс пред NULL 350,Адаптивно-,,Подготовка,к тестированию в РТН Нет,NULL NULL,NULL,NULL,,,0
"Тестирование Б.8.1.4. Эксплуатация опасных производственных объектов, на которых используются электрическ",Каталог курсов (СДО),,,,,,,,,,,,,10996,Курс пред NULL 350,Адаптивно-,,Подготовка,к тестированию в РТН Нет,NULL NULL,NULL,NULL,,,0
"Тестирование Б.8.1.5. Эксплуатация опасных производственных объектов, на которых используются котлы и их",Каталог курсов (СДО),,,,,,,,,,,,,10997,т Курс пред NULL 350,Адаптивно-,,Подготовка,к тестированию в РТН Нет,NULL NULL,NULL,NULL,,,0
"Тестирование Б.8.2. Эксплуатация опасных производственных объектов, на которых используются трубопроводыКурс",Каталог курсов (СДО),,,,,,,,,,,,,10998,пред NULL 350,Адаптивно-,,Подготовка,к тестированию в РТН Нет,NULL NULL,NULL,NULL,,,0
"Тестирование Б.8.3. Эксплуатация опасных производственных объектов, на которых используются сосуды, работ",Каталог курсов (СДО),,,,,,,,,,,,,10999,Курс пред NULL 350,Адаптивно-,,Подготовка,к тестированию в РТН Нет,NULL NULL,NULL,NULL,,,0
"Тестирование Б.8.4. Эксплуатация опасных производственных объектов, на которых используются медицинские",Каталог курсов (СДО),,,,,,,,,,,,,11000,Курс пред NULL 350,Адаптивно-,,Подготовка,к тестированию в РТН Нет,NULL NULL,NULL,NULL,,,0
"Тестирование Б.8.5. Эксплуатация опасных производственных объектов, на которых используются водолазные",Каталог курсов (СДО),,,,,,,,,,,,,11001,б Курс пред NULL 350,Адаптивно-,,Подготовка,к тестированию в РТН Нет,NULL NULL,NULL,NULL,,,0
"Тестирование Б.8.6. Проектирование, строительство, реконструкция, капитальный ремонт и техническое перево",Каталог курсов (СДО),,,,,,,,,,,,,11002,Курс пред NULL 350,Адаптивно-,,Подготовка,к тестированию в РТН Нет,NULL NULL,NULL,NULL,,,0
