Наименование программы,Источник,[План 2026] Тип работы,[План 2026] Компания,[План 2026] Направление,[План 2026] Часов,[План 2026] Вид обучения,[План 2026] Заказчик,[План 2026] Контактное лицо,[План 2026] Примечание,[План 2026] Статус,[План 2026] Автор курса,[План 2026] Даты,[План 2026] ID курса,[Каталог] ID,[Каталог] Описание,[Каталог] Цена,[Каталог] Бейдж,[Каталог] Часы,[Каталог] Тип обучения,[Каталог] ФРДО/РОЛ,[Каталог] ProgramId,[Каталог] Код ЕИСОТ,[Каталог] Программа ЕИС,[Каталог] Часы ЕИС,[Каталог] Ссылка/год
Слесарь по эксплуатации и ремонту газового оборудования,Каталог курсов (СДО),,,,,,,,,,,,,10810,NULL NULL 640,NULL,144,Профессиональное,обучение Нет,NULL NULL,NULL,NULL,,,0
Специалист в области промышленной безопасности,Каталог курсов (СДО),,,,,,,,,,,,,11244,Целью обуNULL 4340,NULL,256,Профессиональная,переподготов ФРДО,NULL NULL,NULL,NULL,https://portal.smarta.life/~4cdh8,,
Специалист по пожарной профилактике,Каталог курсов (СДО),,,,,,,,,,,,,5700,Программ NULL 4340,NULL,256,Профессиональная,переподготов ФРДО,NULL NULL,NULL,NULL,https://portal.smarta.life/~1SpwD,,
Тестирование А.1. Основы промышленной безопасности,Каталог курсов (СДО),,,,,,,,,,,,,10920,Курс пред NULL 350,Адаптивно-,,Подготовка,к тестированию в РТН Нет,NULL NULL,NULL,NULL,,,0
Тестирование Б.1.1. Эксплуатация химически опасных производственных объектов,Каталог курсов (СДО),,,,,,,,,,,,,10921,Курс пред NULL 350,Адаптивно-,,Подготовка,к тестированию в РТН Нет,NULL NULL,NULL,NULL,,,0
"Тестирование Б.1.10. Проектирование, строительство, реконструкция, техническое перевооружение, капитальныКурс",Каталог курсов (СДО),,,,,,,,,,,,,10939,пред NULL 350,Адаптивно-,,Подготовка,к тестированию в РТН Нет,NULL NULL,NULL,NULL,,,0
"Тестирование Б.1.11. Безопасное ведение газоопасных, огневых и ремонтных работ",Каталог курсов (СДО),,,,,,,,,,,,,10943,Курс пред NULL 350,Адаптивно-,,Подготовка,к тестированию в РТН Нет,NULL NULL,NULL,NULL,,,0
"Тестирование Б.1.12. Химически опасные производственные объекты, связанные с получением, использованиемКурс",Каталог курсов (СДО),,,,,,,,,,,,,10944,пред NULL 350,Адаптивно-,,Подготовка,к тестированию в РТН Нет,NULL NULL,NULL,NULL,,,0
"Тестирование Б.1.13. Химически опасные производственные объекты, связанные с получением, использованиемКурс",Каталог курсов (СДО),,,,,,,,,,,,,10946,пред NULL 350,Адаптивно-,,Подготовка,к тестированию в РТН Нет,NULL NULL,NULL,NULL,,,0
"Тестирование Б.1.14. Химически опасные производственные объекты, связанные с получением, использованиемКурс",Каталог курсов (СДО),,,,,,,,,,,,,10948,пред NULL 350,Адаптивно-,,Подготовка,к тестированию в РТН Нет,NULL NULL,NULL,NULL,,,0
Тестирование Б.1.15. Опасные производственные объекты производств боеприпасов и спецхимии,Каталог курсов (СДО),,,,,,,,,,,,,10949,Курс пред NULL 350,Адаптивно-,,Подготовка,к тестированию в РТН Нет,NULL NULL,NULL,NULL,,,0
Тестирование Б.1.16. Эксплуатация объектов маслоэкстракционных производств и производств гидрогенизации,Каталог курсов (СДО),,,,,,,,,,,,,10956,Курс пред NULL 350,Адаптивно-,,Подготовка,к тестированию в РТН Нет,NULL NULL,NULL,NULL,,,0
Тестирование Б.1.17. Производство и потребление продуктов разделения воздуха,Каталог курсов (СДО),,,,,,,,,,,,,10960,Курс пред NULL 350,Адаптивно-,,Подготовка,к тестированию в РТН Нет,NULL NULL,NULL,NULL,,,0
"Тестирование Б.1.18. Эксплуатация опасных производственных объектов производства шин, резинотехнических",Каталог курсов (СДО),,,,,,,,,,,,,10965,Курс пред NULL 350,Адаптивно-,,Подготовка,к тестированию в РТН Нет,NULL NULL,NULL,NULL,,,0
Тестирование Б.1.19. Химически опасные производственные объекты наземных складов жидкого аммиака,Каталог курсов (СДО),,,,,,,,,,,,,10971,Курс пред NULL 350,Адаптивно-,,Подготовка,к тестированию в РТН Нет,NULL NULL,NULL,NULL,,,0
